,organization,industry,section,gri_idx,sim_score,gri_desc
0,lloyds,finances,lloyds-sustainability-2023-1,gri_2-22,0.6309718489646912,"General Disclosures (Organization and its Reporting Practices, Governance, Strategy, Goals, Risks, Policies and Practices, Stakeholder Engagement): Statement on sustainable development strategy and climate goals (Statement from the highest governance body of the organization about the relevance of sustainable development to the organization and its strategy for contributing to sustainable development)"
1,lloyds,finances,lloyds-sustainability-2023-1,gri_2-2,0.6158454418182373,"General Disclosures (Organization and its Reporting Practices, Governance, Strategy, Goals, Risks, Policies and Practices, Stakeholder Engagement): Entities included in the organization's sustainability reporting (List of all entities included in sustainability reporting)"
2,lloyds,finances,lloyds-sustainability-2023-1,gri_2-27,0.5050012469291687,"General Disclosures (Organization and its Reporting Practices, Governance, Strategy, Goals, Risks, Policies and Practices, Stakeholder Engagement): Compliance with laws and regulations (Total number of significant instances of non-compliance with laws and regulations during the reporting period)"
3,lloyds,finances,lloyds-sustainability-2023-1,gri_2-24,0.4834643006324768,"General Disclosures (Organization and its Reporting Practices, Governance, Strategy, Goals, Risks, Policies and Practices, Stakeholder Engagement): Embedding policy commitments (Describe how organization embeds each of its policy commitments for responsible business conduct throughout its activities and business relationships)"
4,lloyds,finances,lloyds-sustainability-2023-1,gri_201-2,0.4784377217292785,"Economic Performance (Revenue, Financial risks, Climate change risks and opportunities): Financial implications and other risks and opportunities due to climate change (Risks and opportunities posed by climate change that have the potential to generate substantive changes in operations, revenue, or expenditure)"
5,lloyds,finances,lloyds-sustainability-2023-1,gri_304-2,0.4681623876094818,"Biodiversity (Corporate Accountability, Nature): Significant impacts of activities, products, and services on biodiversity (Company's impact on biodiversity and management plan)"
6,lloyds,finances,lloyds-sustainability-2023-1,gri_308-2,0.4454084634780884,"Supplier Environmental Assessment (Governance, Supply Chain Transparency): Negative environmental impacts in the supply chain and actions taken (Number of suppliers assessed for environmental impacts)"
7,lloyds,finances,lloyds-sustainability-2023-1,gri_307-1,0.4084606170654297,"Environmental Compliance (Non-compliance, Laws & Regulations, Sanctions): Environmental Non-Monetary Sanctions (Total number of non-monetary sanctions for non-compliance with environmental laws and regulations incurred by the organization? )"
8,lloyds,finances,lloyds-sustainability-2023-3,gri_304-2,0.4931710660457611,"Biodiversity (Corporate Accountability, Nature): Significant impacts of activities, products, and services on biodiversity (Company's impact on biodiversity and management plan)"
9,lloyds,finances,lloyds-sustainability-2023-3,gri_2-22,0.4751476645469665,"General Disclosures (Organization and its Reporting Practices, Governance, Strategy, Goals, Risks, Policies and Practices, Stakeholder Engagement): Statement on sustainable development strategy and climate goals (Statement from the highest governance body of the organization about the relevance of sustainable development to the organization and its strategy for contributing to sustainable development)"
10,lloyds,finances,lloyds-sustainability-2023-3,gri_201-2,0.4666155576705932,"Economic Performance (Revenue, Financial risks, Climate change risks and opportunities): Financial implications and other risks and opportunities due to climate change (Risks and opportunities posed by climate change that have the potential to generate substantive changes in operations, revenue, or expenditure)"
11,lloyds,finances,lloyds-sustainability-2023-3,gri_2-2,0.4157173335552215,"General Disclosures (Organization and its Reporting Practices, Governance, Strategy, Goals, Risks, Policies and Practices, Stakeholder Engagement): Entities included in the organization's sustainability reporting (List of all entities included in sustainability reporting)"
12,lloyds,finances,lloyds-sustainability-2023-4,gri_2-22,0.5382295250892639,"General Disclosures (Organization and its Reporting Practices, Governance, Strategy, Goals, Risks, Policies and Practices, Stakeholder Engagement): Statement on sustainable development strategy and climate goals (Statement from the highest governance body of the organization about the relevance of sustainable development to the organization and its strategy for contributing to sustainable development)"
13,lloyds,finances,lloyds-sustainability-2023-4,gri_201-2,0.5313107371330261,"Economic Performance (Revenue, Financial risks, Climate change risks and opportunities): Financial implications and other risks and opportunities due to climate change (Risks and opportunities posed by climate change that have the potential to generate substantive changes in operations, revenue, or expenditure)"
14,lloyds,finances,lloyds-sustainability-2023-4,gri_304-2,0.5180727243423462,"Biodiversity (Corporate Accountability, Nature): Significant impacts of activities, products, and services on biodiversity (Company's impact on biodiversity and management plan)"
15,lloyds,finances,lloyds-sustainability-2023-4,gri_2-5,0.5045595169067383,"General Disclosures (Organization and its Reporting Practices, Governance, Strategy, Goals, Risks, Policies and Practices, Stakeholder Engagement): External assurance (Organization's policy and practice for seeking external assurance, external climate change policies or goals)"
16,lloyds,finances,lloyds-sustainability-2023-4,gri_2-25,0.4989305138587951,"General Disclosures (Organization and its Reporting Practices, Governance, Strategy, Goals, Risks, Policies and Practices, Stakeholder Engagement): Processes to remediate negative impacts (climate change adaptation) (Organization's commitments to provide for or cooperate in the remediation of negative impacts that the organization identifies it has caused or contributed to)"
17,lloyds,finances,lloyds-sustainability-2023-4,gri_201-1,0.4987172186374664,"Economic Performance (Revenue, Financial risks, Climate change risks and opportunities): Direct economic value generated and distributed (Company's direct economic value (revenue) generated)"
18,lloyds,finances,lloyds-sustainability-2023-4,gri_2-24,0.4529549479484558,"General Disclosures (Organization and its Reporting Practices, Governance, Strategy, Goals, Risks, Policies and Practices, Stakeholder Engagement): Embedding policy commitments (Describe how organization embeds each of its policy commitments for responsible business conduct throughout its activities and business relationships)"
19,lloyds,finances,lloyds-sustainability-2023-4,gri_2-23,0.4378747940063476,"General Disclosures (Organization and its Reporting Practices, Governance, Strategy, Goals, Risks, Policies and Practices, Stakeholder Engagement): Policy commitments (Organization's policy commitments for responsible business conduct)"
20,lloyds,finances,lloyds-sustainability-2023-8,gri_201-2,0.450747549533844,"Economic Performance (Revenue, Financial risks, Climate change risks and opportunities): Financial implications and other risks and opportunities due to climate change (Risks and opportunities posed by climate change that have the potential to generate substantive changes in operations, revenue, or expenditure)"
21,lloyds,finances,lloyds-sustainability-2023-9,gri_2-22,0.4165741801261902,"General Disclosures (Organization and its Reporting Practices, Governance, Strategy, Goals, Risks, Policies and Practices, Stakeholder Engagement): Statement on sustainable development strategy and climate goals (Statement from the highest governance body of the organization about the relevance of sustainable development to the organization and its strategy for contributing to sustainable development)"
22,lloyds,finances,lloyds-sustainability-2023-13,gri_2-22,0.4706300497055053,"General Disclosures (Organization and its Reporting Practices, Governance, Strategy, Goals, Risks, Policies and Practices, Stakeholder Engagement): Statement on sustainable development strategy and climate goals (Statement from the highest governance body of the organization about the relevance of sustainable development to the organization and its strategy for contributing to sustainable development)"
23,lloyds,finances,lloyds-sustainability-2023-13,gri_2-2,0.4424606561660766,"General Disclosures (Organization and its Reporting Practices, Governance, Strategy, Goals, Risks, Policies and Practices, Stakeholder Engagement): Entities included in the organization's sustainability reporting (List of all entities included in sustainability reporting)"
24,lloyds,finances,lloyds-sustainability-2023-13,gri_304-2,0.4017286896705627,"Biodiversity (Corporate Accountability, Nature): Significant impacts of activities, products, and services on biodiversity (Company's impact on biodiversity and management plan)"
25,lloyds,finances,lloyds-sustainability-2023-14,gri_2-22,0.5378124713897705,"General Disclosures (Organization and its Reporting Practices, Governance, Strategy, Goals, Risks, Policies and Practices, Stakeholder Engagement): Statement on sustainable development strategy and climate goals (Statement from the highest governance body of the organization about the relevance of sustainable development to the organization and its strategy for contributing to sustainable development)"
26,lloyds,finances,lloyds-sustainability-2023-14,gri_201-1,0.5337271690368652,"Economic Performance (Revenue, Financial risks, Climate change risks and opportunities): Direct economic value generated and distributed (Company's direct economic value (revenue) generated)"
27,lloyds,finances,lloyds-sustainability-2023-14,gri_2-2,0.4917318820953369,"General Disclosures (Organization and its Reporting Practices, Governance, Strategy, Goals, Risks, Policies and Practices, Stakeholder Engagement): Entities included in the organization's sustainability reporting (List of all entities included in sustainability reporting)"
28,lloyds,finances,lloyds-sustainability-2023-14,gri_2-29,0.491359680891037,"General Disclosures (Organization and its Reporting Practices, Governance, Strategy, Goals, Risks, Policies and Practices, Stakeholder Engagement): Approach to stakeholder engagement (Company's process for identifying relevant stakeholders across its value chain)"
29,lloyds,finances,lloyds-sustainability-2023-14,gri_2-25,0.4506606459617615,"General Disclosures (Organization and its Reporting Practices, Governance, Strategy, Goals, Risks, Policies and Practices, Stakeholder Engagement): Processes to remediate negative impacts (climate change adaptation) (Organization's commitments to provide for or cooperate in the remediation of negative impacts that the organization identifies it has caused or contributed to)"
30,lloyds,finances,lloyds-sustainability-2023-14,gri_201-2,0.429348886013031,"Economic Performance (Revenue, Financial risks, Climate change risks and opportunities): Financial implications and other risks and opportunities due to climate change (Risks and opportunities posed by climate change that have the potential to generate substantive changes in operations, revenue, or expenditure)"
31,lloyds,finances,lloyds-sustainability-2023-15,gri_304-2,0.4091067910194397,"Biodiversity (Corporate Accountability, Nature): Significant impacts of activities, products, and services on biodiversity (Company's impact on biodiversity and management plan)"
32,lloyds,finances,lloyds-sustainability-2023-16,gri_304-2,0.4115804433822632,"Biodiversity (Corporate Accountability, Nature): Significant impacts of activities, products, and services on biodiversity (Company's impact on biodiversity and management plan)"
33,lloyds,finances,lloyds-sustainability-2023-18,gri_2-29,0.4371406137943268,"General Disclosures (Organization and its Reporting Practices, Governance, Strategy, Goals, Risks, Policies and Practices, Stakeholder Engagement): Approach to stakeholder engagement (Company's process for identifying relevant stakeholders across its value chain)"
34,lloyds,finances,lloyds-sustainability-2023-18,gri_2-5,0.4296708106994629,"General Disclosures (Organization and its Reporting Practices, Governance, Strategy, Goals, Risks, Policies and Practices, Stakeholder Engagement): External assurance (Organization's policy and practice for seeking external assurance, external climate change policies or goals)"
35,lloyds,finances,lloyds-sustainability-2023-19,gri_2-22,0.4383866190910339,"General Disclosures (Organization and its Reporting Practices, Governance, Strategy, Goals, Risks, Policies and Practices, Stakeholder Engagement): Statement on sustainable development strategy and climate goals (Statement from the highest governance body of the organization about the relevance of sustainable development to the organization and its strategy for contributing to sustainable development)"
36,lloyds,finances,lloyds-sustainability-2023-19,gri_2-2,0.4336603879928589,"General Disclosures (Organization and its Reporting Practices, Governance, Strategy, Goals, Risks, Policies and Practices, Stakeholder Engagement): Entities included in the organization's sustainability reporting (List of all entities included in sustainability reporting)"
37,lloyds,finances,lloyds-sustainability-2023-19,gri_301-1,0.4207355976104736,"Materials (Health and Safety, Waste Management, Recycled Materials): Materials used by weight or volume (Total weight of materials that are used to produce and package the organization's primary products and services)"
38,lloyds,finances,lloyds-sustainability-2023-19,gri_2-25,0.4204549491405487,"General Disclosures (Organization and its Reporting Practices, Governance, Strategy, Goals, Risks, Policies and Practices, Stakeholder Engagement): Processes to remediate negative impacts (climate change adaptation) (Organization's commitments to provide for or cooperate in the remediation of negative impacts that the organization identifies it has caused or contributed to)"
39,lloyds,finances,lloyds-sustainability-2023-19,gri_308-2,0.4012722373008728,"Supplier Environmental Assessment (Governance, Supply Chain Transparency): Negative environmental impacts in the supply chain and actions taken (Number of suppliers assessed for environmental impacts)"
40,lloyds,finances,lloyds-sustainability-2023-21,gri_2-22,0.4804802238941192,"General Disclosures (Organization and its Reporting Practices, Governance, Strategy, Goals, Risks, Policies and Practices, Stakeholder Engagement): Statement on sustainable development strategy and climate goals (Statement from the highest governance body of the organization about the relevance of sustainable development to the organization and its strategy for contributing to sustainable development)"
41,lloyds,finances,lloyds-sustainability-2023-21,gri_2-25,0.4354084134101867,"General Disclosures (Organization and its Reporting Practices, Governance, Strategy, Goals, Risks, Policies and Practices, Stakeholder Engagement): Processes to remediate negative impacts (climate change adaptation) (Organization's commitments to provide for or cooperate in the remediation of negative impacts that the organization identifies it has caused or contributed to)"
42,lloyds,finances,lloyds-sustainability-2023-21,gri_304-2,0.4169653952121734,"Biodiversity (Corporate Accountability, Nature): Significant impacts of activities, products, and services on biodiversity (Company's impact on biodiversity and management plan)"
43,lloyds,finances,lloyds-sustainability-2023-25,gri_2-22,0.5336557030677795,"General Disclosures (Organization and its Reporting Practices, Governance, Strategy, Goals, Risks, Policies and Practices, Stakeholder Engagement): Statement on sustainable development strategy and climate goals (Statement from the highest governance body of the organization about the relevance of sustainable development to the organization and its strategy for contributing to sustainable development)"
44,lloyds,finances,lloyds-sustainability-2023-25,gri_2-29,0.521134078502655,"General Disclosures (Organization and its Reporting Practices, Governance, Strategy, Goals, Risks, Policies and Practices, Stakeholder Engagement): Approach to stakeholder engagement (Company's process for identifying relevant stakeholders across its value chain)"
45,lloyds,finances,lloyds-sustainability-2023-25,gri_304-2,0.4938727021217346,"Biodiversity (Corporate Accountability, Nature): Significant impacts of activities, products, and services on biodiversity (Company's impact on biodiversity and management plan)"
46,lloyds,finances,lloyds-sustainability-2023-25,gri_2-25,0.4891827702522278,"General Disclosures (Organization and its Reporting Practices, Governance, Strategy, Goals, Risks, Policies and Practices, Stakeholder Engagement): Processes to remediate negative impacts (climate change adaptation) (Organization's commitments to provide for or cooperate in the remediation of negative impacts that the organization identifies it has caused or contributed to)"
47,lloyds,finances,lloyds-sustainability-2023-25,gri_2-2,0.4837279319763183,"General Disclosures (Organization and its Reporting Practices, Governance, Strategy, Goals, Risks, Policies and Practices, Stakeholder Engagement): Entities included in the organization's sustainability reporting (List of all entities included in sustainability reporting)"
